steam_id,user_name,kills,headshots,wallbang_kills,assisted_flashes,trade_kills,no_scope,through_smoke,airbone_kills,blind_kills,victim_blind_kills,team_clan_name,awp_kills,pistol_kills,assists,deaths,trade_deaths,kd,k_d_diff,adr_total,adr_ct_side,adr_t_side,kast_total,kast_ct_side,kast_t_side,total_rounds_won,t_rounds_won,ct_rounds_won,first_kills,ct_first_kills,t_first_kills,first_deaths,ct_first_deaths,t_first_deaths,flahes_thrown,ct_flahes_thrown,t_flahes_thrown,flahes_thrown_in_pistol_round,he_thrown,ct_he_thrown,t_he_thrown,he_thrown_in_pistol_round,infernos_thrown,ct_infernos_thrown,t_infernos_thrown,infernos_thrown_in_pistol_round,smokes_thrown,ct_smokes_thrown,t_smokes_thrown,smokes_thrown_in_pistol_round,util_in_pistol_round,total_util_thrown,total_util_dmg,ct_total_util_dmg,t_total_util_dmg
76561198016255205,Twistzz,95,50,3,4,28,0,6,0,1,4,Team Liquid,1,20,14,84,9,1.13095238095,11,76.66153846154,76.33333333333,77.10909090909,0.71538461538,0.73333333333,0.69090909091,49,25,24,20,12,8,12,2,10,92,50,42,1,49,35,14,0,69,38,31,0,91,48,43,0,1,301,413,266,147
7.65612E+16,JT,217,117,3,11,58,0,27,1,4,11,Complexity,0,34,108,229,62,0.94759825328,-12,71.16022099448,69.03703703704,73.47976878613,0.71270700000,0.73544973545,0.68786127168,194,87,107,68,32,36,74,36,38,360,146,214,29,153,95,58,1,204,96,108,4,257,119,138,13,47,974,1569,905,664
76561198022365638,stavn,217,114,5,11,48,1,30,1,2,11,Astralis,1,39,73,182,38,1.19230769231,35,83.23693000000,89.40000000000,77.76315789474,0.73867595819,0.80000000000,0.68421052632,138,62,76,66,48,18,54,26,28,190,66,124,4,156,94,62,5,148,70,78,3,183,76,107,5,17,677,1835,1048,787
76561198031890115,Lucky,192,79,6,19,33,0,15,0,2,19,3DMAX,5,38,85,198,47,0.96969696970,-6,75.39867109635,78.21935483871,72.40411000000,0.73421926910,0.75483870968,0.71232876712,146,68,78,50,28,22,54,22,32,108,54,54,4,168,90,78,2,181,90,91,0,131,69,62,0,6,588,2278,1360,918
76561198031890115,ICON,192,79,6,19,33,0,15,0,2,19,3DMAX,5,38,85,198,47,0.96969696970,-6,75.39867109635,78.21935483871,72.40411000000,0.73421926910,0.75483870968,0.71232876712,146,68,78,50,28,22,54,22,32,108,54,54,4,168,90,78,2,181,90,91,0,131,69,62,0,6,588,2278,1360,918
76561198034172415,REZ,174,109,6,6,48,0,12,0,1,6,GamerLegion,0,35,70,170,42,1.02352941176,4,79.93650793651,91.99159663866,69.15037593985,0.72619047619,0.77310900000,0.68421052632,138,64,74,58,24,34,78,26,52,160,80,80,3,105,59,46,1,137,65,72,1,173,79,94,2,7,575,1294,602,692
76561198041683378,NiKo,382,192,9,25,89,0,47,0,12,25,Team Falcons,4,88,110,324,58,1.17901234568,58,87.55992000000,97.34099616858,76.11210762332,0.75206611570,0.78927200000,0.70852017937,254,129,125,140,86,54,98,56,42,279,142,137,8,303,196,107,5,311,160,151,2,278,151,127,6,21,1171,3213,2599,614
76561198044045107,electroNic,158,65,2,7,45,0,16,2,2,7,Virtus.pro,1,18,66,187,55,0.84491978610,-29,72.32422000000,73.73846153846,70.86507936508,0.67187500000,0.69230769231,0.65079365079,126,55,71,52,26,26,74,22,52,259,96,163,21,91,71,20,3,157,66,91,7,205,85,120,10,41,712,1861,1343,518
76561198044118796,XANTARES,231,128,7,7,56,0,18,2,2,7,Aurora,1,26,77,195,57,1.18461538462,36,83.33226837061,81.13772000000,85.84246575342,0.75079872204,0.80239520958,0.69178082192,168,88,80,56,24,32,86,40,46,136,63,73,1,149,104,45,0,168,78,90,1,157,95,62,2,4,610,2017,1512,505
76561198045397601,SOMEBODY,91,41,4,5,34,0,8,1,4,5,RARE ATOM,4,12,21,111,26,0.81981981982,-20,68.81632653061,64.26923076923,73.95652173913,0.65986394558,0.64102564103,0.68115942029,59,26,33,24,16,8,40,22,18,79,35,44,0,48,20,28,0,52,24,28,0,57,32,25,0,0,236,243,152,91
76561198045739761,Maka,197,80,7,5,48,1,18,1,2,5,3DMAX,53,25,54,190,56,1.03684210526,7,70.01666666667,67.74839000000,72.44137931034,0.75666666667,0.76774193548,0.74482758621,146,68,78,62,38,24,56,18,38,317,128,189,4,128,77,51,2,188,75,113,2,265,105,160,6,14,898,1386,963,423
76561198045739761,å¤¢ GOATESK â¦ðŸŒŠðŸ,197,80,7,5,48,1,18,1,2,5,3DMAX,53,25,54,190,56,1.03684210526,7,70.01666666667,67.74839000000,72.44137931034,0.75666666667,0.76774193548,0.74482758621,146,68,78,62,38,24,56,18,38,317,128,189,4,128,77,51,2,188,75,113,2,265,105,160,6,14,898,1386,963,423
76561198053126645,NertZ,68,36,1,0,22,0,5,0,1,0,Team Liquid,0,9,22,99,28,0.68686868687,-31,67.38461538462,68.52000000000,65.83636363636,0.63076923077,0.60000000000,0.67272727273,49,25,24,32,18,14,42,22,20,66,34,32,1,51,29,22,0,62,38,24,0,77,47,30,3,4,256,613,240,373
76561198055109028,ICY,176,55,4,5,37,1,17,0,3,5,Virtus.pro,92,38,40,137,26,1.28467153285,39,66.36719000000,61.75384615385,71.12698412698,0.77343800000,0.76153846154,0.78571428571,126,55,71,54,26,28,30,16,14,186,63,123,4,38,36,2,0,80,31,49,0,178,61,117,2,6,482,614,322,292
76561198057282432,kyxsan,291,162,8,15,82,1,30,1,7,15,Team Falcons,0,44,129,335,113,0.86865671642,-44,73.05371900826,69.90805000000,76.73542600897,0.74380200000,0.75862068966,0.72645700000,254,129,125,86,42,44,84,32,52,252,90,162,31,232,160,72,4,311,155,156,12,447,207,240,26,73,1242,3375,2068,1307
76561198058500492,KSCERATO,184,95,6,11,40,0,24,0,0,11,FURIA,6,32,63,156,31,1.17948717949,28,86.80701754386,98.13000000000,77.96094000000,0.73684210526,0.74000000000,0.73437500000,103,46,57,44,28,16,54,22,32,169,52,117,12,127,63,64,5,137,54,83,2,208,80,128,8,27,641,1916,1100,816
76561198060367310,hallzerk,264,129,17,9,64,1,32,0,4,9,Complexity,84,45,100,220,56,1.20000000000,44,78.08563535912,79.67724867725,76.34682080925,0.80110497238,0.80952380952,0.79190800000,194,87,107,96,62,34,44,28,16,285,111,174,17,137,92,45,1,135,54,81,1,194,77,117,8,27,751,2041,1360,681
76561198061763596,n1ssim,129,61,3,3,38,0,15,0,0,3,LEGACY,2,16,63,163,38,0.79141104294,-34,71.77056277056,80.59433962264,64.28800000000,0.68831168831,0.72641509434,0.65600000000,113,49,64,34,22,12,44,10,34,123,51,72,1,100,46,54,0,125,58,67,1,153,68,85,1,3,501,864,256,608
76561198066693739,EliGE,284,162,14,15,64,0,25,0,0,15,FaZe Clan,3,57,97,260,70,1.09230769231,24,83.30000000000,81.45054945055,85.00000000000,0.74210526316,0.74175824176,0.74242424242,205,88,117,92,48,44,98,52,46,207,101,106,2,190,118,72,1,219,96,123,0,223,96,127,6,9,839,1806,1060,746
76561198067763828,chelo,129,73,3,9,28,0,10,2,0,9,FURIA,2,34,42,163,41,0.79141104294,-34,61.07456140351,61.49000000000,60.75000000000,0.67982456140,0.80000000000,0.58593800000,103,46,57,64,32,32,66,14,52,145,42,103,0,65,46,19,3,112,43,69,0,131,59,72,2,5,453,846,472,374
76561198068002993,HeavyGoD,235,138,9,18,56,0,21,2,1,18,G2 Esports,2,48,68,177,51,1.32768361582,58,81.32362459547,82.40789473684,80.27388535032,0.80906148867,0.81578947368,0.80254800000,166,69,97,52,28,24,44,22,22,215,96,119,7,96,73,23,0,187,94,93,2,221,114,107,4,13,719,1097,701,396
76561198068422762,frozen,289,161,12,6,67,0,25,0,2,6,FaZe Clan,0,39,101,239,55,1.20920502092,50,85.56315789474,88.04395604396,83.28282828283,0.74736842105,0.74175824176,0.75252525253,205,88,117,68,36,32,76,34,42,204,71,133,5,138,68,70,2,174,77,97,1,244,103,141,5,13,760,1619,859,760
76561198074017668,Lux,156,84,8,6,40,1,17,1,3,6,LEGACY,0,22,52,163,39,0.95705521472,-7,77.27705627706,86.14150943396,69.76000000000,0.70129870130,0.73584905660,0.67200000000,113,49,64,56,34,22,90,40,50,149,50,99,1,94,53,41,0,137,59,78,1,159,73,86,2,4,539,1613,917,696
